id,formattedAddress,addressLine1,addressLine2,city,state,stateFips,zipCode,county,countyFips,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,hoa/fee,features/floorCount,lastSaleDate,lastSalePrice,history/2025-06-30/event,history/2025-06-30/date
"2036-Cypress-Ave,-Unit-1,-El-Paso,-TX-79905","2036 Cypress Ave, Unit 1, El Paso, TX 79905",2036 Cypress Ave,Unit 1,El Paso,TX,48,79905,El Paso,141,31.766607,-106.46312,Townhouse,2,1,633,,2023,,1,,,,
"2036-Cypress-Ave,-Unit-4,-El-Paso,-TX-79905","2036 Cypress Ave, Unit 4, El Paso, TX 79905",2036 Cypress Ave,Unit 4,El Paso,TX,48,79905,El Paso,141,31.766607,-106.46312,Townhouse,2,1,633,,2023,,2,,,,
"2036-Cypress-Ave,-Unit-2,-El-Paso,-TX-79905","2036 Cypress Ave, Unit 2, El Paso, TX 79905",2036 Cypress Ave,Unit 2,El Paso,TX,48,79905,El Paso,141,31.766607,-106.46312,Townhouse,2,1,633,,2023,,2,,,,
"10680-Horn-Cir,-Unit-1,-El-Paso,-TX-79927","10680 Horn Cir, Unit 1, El Paso, TX 79927",10680 Horn Cir,Unit 1,El Paso,TX,48,79927,El Paso,141,31.655851,-106.267433,Townhouse,2,2,943,,2025,,,,,,
"9779-Mccombs-St,-Unit-C,-El-Paso,-TX-79924","9779 Mccombs St, Unit C, El Paso, TX 79924",9779 Mccombs St,Unit C,El Paso,TX,48,79924,El Paso,141,31.890854,-106.40728,Townhouse,3,2,1368,,2024,,,,,,
"9779-Mccombs-St,-Unit-D2,-El-Paso,-TX-79924","9779 Mccombs St, Unit D2, El Paso, TX 79924",9779 Mccombs St,Unit D2,El Paso,TX,48,79924,El Paso,141,31.890854,-106.40728,Townhouse,3,2,1368,,2024,,,,,,
"8423-Leo-St,-Unit-Ab,-El-Paso,-TX-79904","8423 Leo St, Unit Ab, El Paso, TX 79904",8423 Leo St,Unit Ab,El Paso,TX,48,79904,El Paso,141,31.857435,-106.445976,Townhouse,3,2,1030,,2025,,,,,,
"10680-Horn-Cir,-Unit-3,-El-Paso,-TX-79927","10680 Horn Cir, Unit 3, El Paso, TX 79927",10680 Horn Cir,Unit 3,El Paso,TX,48,79927,El Paso,141,31.655851,-106.267433,Townhouse,2,2,943,,2025,,,,,,
"9779-Mccombs-St,-Unit-B2,-El-Paso,-TX-79924","9779 Mccombs St, Unit B2, El Paso, TX 79924",9779 Mccombs St,Unit B2,El Paso,TX,48,79924,El Paso,141,31.890854,-106.40728,Townhouse,3,2,1368,,2024,,1,,,,
"10680-Horn-Cir,-Unit-16,-El-Paso,-TX-79927","10680 Horn Cir, Unit 16, El Paso, TX 79927",10680 Horn Cir,Unit 16,El Paso,TX,48,79927,El Paso,141,31.655851,-106.267433,Townhouse,2,2,943,,2025,,,,,,
"9779-Mccombs-St,-Unit-B1,-El-Paso,-TX-79924","9779 Mccombs St, Unit B1, El Paso, TX 79924",9779 Mccombs St,Unit B1,El Paso,TX,48,79924,El Paso,141,31.890854,-106.40728,Townhouse,3,2,1368,,2024,,,,,,
"10680-Horn-Cir,-Unit-10,-El-Paso,-TX-79927","10680 Horn Cir, Unit 10, El Paso, TX 79927",10680 Horn Cir,Unit 10,El Paso,TX,48,79927,El Paso,141,31.655851,-106.267433,Townhouse,2,2,943,,2025,,,,,,
"10680-Horn-Cir,-Unit-4,-El-Paso,-TX-79927","10680 Horn Cir, Unit 4, El Paso, TX 79927",10680 Horn Cir,Unit 4,El Paso,TX,48,79927,El Paso,141,31.655851,-106.267433,Townhouse,2,2,943,,2025,,,,,,
"9779-Mccombs-St,-Unit-D4,-El-Paso,-TX-79924","9779 Mccombs St, Unit D4, El Paso, TX 79924",9779 Mccombs St,Unit D4,El Paso,TX,48,79924,El Paso,141,31.890854,-106.40728,Townhouse,3,2,1368,,2024,,,,,,
