id,formattedAddress,addressLine1,addressLine2,city,state,stateFips,zipCode,county,countyFips,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,hoa/fee
"15237-Imagine-Dr,-El-Paso,-TX-79938","15237 Imagine Dr, El Paso, TX 79938",15237 Imagine Dr,,El Paso,TX,48,79938,El Paso,141,31.803412,-106.19183,Single Family,3,2,1548,5227,2025,
"15248-Ambition-Ave,-El-Paso,-TX-79938","15248 Ambition Ave, El Paso, TX 79938",15248 Ambition Ave,,El Paso,TX,48,79938,El Paso,141,31.803897,-106.191067,Single Family,3,2,1642,5227,2025,
"15232-Concentrate-Ave,-El-Paso,-TX-79938","15232 Concentrate Ave, El Paso, TX 79938",15232 Concentrate Ave,,El Paso,TX,48,79938,El Paso,141,31.805611,-106.190989,Single Family,4,2,1841,5335,2025,
"15236-Concentrate-Ave,-El-Paso,-TX-79938","15236 Concentrate Ave, El Paso, TX 79938",15236 Concentrate Ave,,El Paso,TX,48,79938,El Paso,141,31.805574,-106.191086,Single Family,4,2.5,2142,5335,2025,
"15249-Composition-Ave,-El-Paso,-TX-79938","15249 Composition Ave, El Paso, TX 79938",15249 Composition Ave,,El Paso,TX,48,79938,El Paso,141,31.804809,-106.19061,Single Family,4,2.5,2142,5227,2025,
"15241-Composition-Ave,-El-Paso,-TX-79938","15241 Composition Ave, El Paso, TX 79938",15241 Composition Ave,,El Paso,TX,48,79938,El Paso,141,31.804791,-106.1909,Single Family,4,2.5,1873,5227,2025,
"15253-Composition-Ave,-El-Paso,-TX-79938","15253 Composition Ave, El Paso, TX 79938",15253 Composition Ave,,El Paso,TX,48,79938,El Paso,141,31.804764,-106.190546,Single Family,4,2,1635,5335,2025,
"15237-Composition-Ave,-El-Paso,-TX-79938","15237 Composition Ave, El Paso, TX 79938",15237 Composition Ave,,El Paso,TX,48,79938,El Paso,141,31.804827,-106.190846,Single Family,3,2,1593,5335,2025,
"15245-Composition-Ave,-El-Paso,-TX-79938","15245 Composition Ave, El Paso, TX 79938",15245 Composition Ave,,El Paso,TX,48,79938,El Paso,141,31.8048,-106.190481,Single Family,4,2,1841,5927,2025,
"15220-Concentrate-Ave,-El-Paso,-TX-79938","15220 Concentrate Ave, El Paso, TX 79938",15220 Concentrate Ave,,El Paso,TX,48,79938,El Paso,141,31.805538,-106.193532,Single Family,4,2.5,1873,5227,2025,
"15224-Concentrate-Ave,-El-Paso,-TX-79938","15224 Concentrate Ave, El Paso, TX 79938",15224 Concentrate Ave,,El Paso,TX,48,79938,El Paso,141,31.805592,-106.190753,Single Family,3,2,1723,5335,2025,
"3793-Surmise-St,-El-Paso,-TX-79938","3793 Surmise St, El Paso, TX 79938",3793 Surmise St,,El Paso,TX,48,79938,El Paso,141,31.805776,-106.199179,Single Family,3,2,1593,6598,2025,
"3785-Surmise-St,-El-Paso,-TX-79938","3785 Surmise St, El Paso, TX 79938",3785 Surmise St,,El Paso,TX,48,79938,El Paso,141,31.805375,-106.19919,Single Family,4,2,1635,5925,2025,
"3781-Surmise-St,-El-Paso,-TX-79938","3781 Surmise St, El Paso, TX 79938",3781 Surmise St,,El Paso,TX,48,79938,El Paso,141,31.805438,-106.199168,Single Family,3,2,1593,5925,2025,
"3789-Surmise-St,-El-Paso,-TX-79938","3789 Surmise St, El Paso, TX 79938",3789 Surmise St,,El Paso,TX,48,79938,El Paso,141,31.80542,-106.199168,Single Family,3,2,1723,5925,2025,
"15216-Concentrate-Ave,-El-Paso,-TX-79938","15216 Concentrate Ave, El Paso, TX 79938",15216 Concentrate Ave,,El Paso,TX,48,79938,El Paso,141,31.805538,-106.191569,Single Family,4,2,1635,5335,2025,
